session,time,strategy,coin,ticker,side,contracts,why,entry,exit,cost,sold_for,booked,held_would_pay,gave_up,tau_at_exit,result
20260920_222952,2026-09-20T23:00:05,Anti Scalper,DOGE,KXDOGE15M-26SEP210200-00,UP,14,mirror,0.69,0.37,9.87,4.95,-4.92,0.0,-4.95,753,no
20260920_222952,2026-09-20T23:15:05,Scalper,XRP,KXXRP15M-26SEP210215-15,UP,15,capture,0.7,0.95,10.73,14.14,3.41,15.0,0.86,132,yes
20260920_222952,2026-09-20T23:15:05,Anti Scalper,XRP,KXXRP15M-26SEP210215-15,DOWN,30,mirror,0.34,0.03,10.68,0.81,-9.87,0.0,-0.81,132,yes
20260920_222952,2026-09-20T23:15:06,Scalper,SOL,KXSOL15M-26SEP210215-15,DOWN,23,capture,0.49,0.92,11.68,20.96,9.28,23.0,2.04,49,no
20260920_222952,2026-09-20T23:15:06,Scalper,SOL,KXSOL15M-26SEP210215-15,DOWN,29,capture,0.24,0.85,7.34,24.39,17.05,29.0,4.61,52,no
20260920_222952,2026-09-20T23:15:06,Scalper,SOL,KXSOL15M-26SEP210215-15,DOWN,22,capture,0.45,0.89,10.29,19.5,9.21,22.0,2.5,50,no
20260920_222952,2026-09-20T23:15:06,Scalper,SOL,KXSOL15M-26SEP210215-15,DOWN,23,capture,0.44,0.89,10.52,20.38,9.86,23.0,2.62,50,no
20260920_222952,2026-09-20T23:15:06,Scalper,SOL,KXSOL15M-26SEP210215-15,DOWN,22,capture,0.46,0.89,10.51,19.5,8.99,22.0,2.5,50,no
20260920_222952,2026-09-20T23:15:06,Scalper,SOL,KXSOL15M-26SEP210215-15,DOWN,15,capture,0.64,0.93,9.85,13.86,4.01,15.0,1.14,47,no
20260920_222952,2026-09-20T23:15:06,Scalper,SOL,KXSOL15M-26SEP210215-15,DOWN,10,capture,0.66,0.95,6.76,9.46,2.7,10.0,0.54,46,no
20260920_222952,2026-09-20T23:15:06,Scalper,SOL,KXSOL15M-26SEP210215-15,DOWN,9,capture,0.56,0.92,5.2,8.2,3.0,9.0,0.8,49,no
20260920_222952,2026-09-20T23:15:06,Anti Scalper,SOL,KXSOL15M-26SEP210215-15,UP,20,mirror,0.54,0.06,11.15,1.15,-10.0,0.0,-1.15,49,no
20260920_222952,2026-09-20T23:15:06,Anti Scalper,SOL,KXSOL15M-26SEP210215-15,UP,9,mirror,0.79,0.1,7.22,0.84,-6.38,0.0,-0.84,52,no
20260920_222952,2026-09-20T23:15:06,Anti Scalper,SOL,KXSOL15M-26SEP210215-15,UP,5,mirror,0.61,0.07,3.14,0.3,-2.84,0.0,-0.3,50,no
20260920_222952,2026-09-20T23:15:06,Anti Scalper,SOL,KXSOL15M-26SEP210215-15,UP,16,mirror,0.64,0.07,10.5,0.99,-9.51,0.0,-0.99,50,no
20260920_222952,2026-09-20T23:15:06,Anti Scalper,SOL,KXSOL15M-26SEP210215-15,UP,17,mirror,0.57,0.07,9.99,1.04,-8.95,0.0,-1.04,50,no
20260920_222952,2026-09-20T23:15:06,Anti Scalper,SOL,KXSOL15M-26SEP210215-15,UP,9,mirror,0.39,0.03,3.66,0.27,-3.39,0.0,-0.27,47,no
20260920_222952,2026-09-20T23:15:06,Anti Scalper,SOL,KXSOL15M-26SEP210215-15,UP,17,mirror,0.38,0.02,6.75,0.31,-6.44,0.0,-0.31,46,no
20260920_222952,2026-09-20T23:15:06,Anti Scalper,SOL,KXSOL15M-26SEP210215-15,UP,10,mirror,0.5,0.06,5.18,0.57,-4.61,0.0,-0.57,49,no
20260920_222952,2026-09-20T23:15:10,Scalper,ETH,KXETH15M-26SEP210215-15,DOWN,27,capture,0.4,0.92,11.26,24.64,13.38,0.0,-24.64,41,yes
20260920_222952,2026-09-20T23:15:10,Scalper,ETH,KXETH15M-26SEP210215-15,DOWN,43,capture,0.24,0.86,10.87,36.61,25.74,0.0,-36.61,43,yes
20260920_222952,2026-09-20T23:15:10,Scalper,ETH,KXETH15M-26SEP210215-15,DOWN,25,capture,0.05,0.86,1.42,21.28,19.86,0.0,-21.28,43,yes
20260920_222952,2026-09-20T23:15:10,Scalper,ETH,KXETH15M-26SEP210215-15,DOWN,35,capture,0.1,0.86,3.73,29.8,26.07,0.0,-29.8,43,yes
20260920_222952,2026-09-20T23:15:10,Scalper,ETH,KXETH15M-26SEP210215-15,DOWN,14,capture,0.18,0.86,2.67,11.92,9.25,0.0,-11.92,43,yes
20260920_222952,2026-09-20T23:15:10,Scalper,ETH,KXETH15M-26SEP210215-15,DOWN,49,capture,0.12,0.86,6.25,41.72,35.47,0.0,-41.72,43,yes
20260920_222952,2026-09-20T23:15:10,Scalper,ETH,KXETH15M-26SEP210215-15,DOWN,16,capture,0.15,0.86,2.55,13.62,11.07,0.0,-13.62,43,yes
20260920_222952,2026-09-20T23:15:10,Scalper,ETH,KXETH15M-26SEP210215-15,DOWN,28,capture,0.32,0.92,9.39,25.55,16.16,0.0,-25.55,41,yes
20260920_222952,2026-09-20T23:15:10,Scalper,ETH,KXETH15M-26SEP210215-15,DOWN,15,capture,0.3,0.86,4.73,12.77,8.04,0.0,-12.77,43,yes
20260920_222952,2026-09-20T23:15:10,Scalper,ETH,KXETH15M-26SEP210215-15,DOWN,71,capture,0.13,0.86,9.8,60.46,50.66,0.0,-60.46,43,yes
20260920_222952,2026-09-20T23:15:10,Scalper,ETH,KXETH15M-26SEP210215-15,DOWN,66,capture,0.11,0.86,7.64,56.2,48.56,0.0,-56.2,43,yes
20260920_222952,2026-09-20T23:15:10,Anti Scalper,ETH,KXETH15M-26SEP210215-15,UP,17,mirror,0.63,0.04,10.99,0.63,-10.36,17.0,16.37,41,yes
20260920_222952,2026-09-20T23:15:10,Anti Scalper,ETH,KXETH15M-26SEP210215-15,UP,13,mirror,0.79,0.11,10.43,1.34,-9.09,13.0,11.66,43,yes
20260920_222952,2026-09-20T23:15:10,Anti Scalper,ETH,KXETH15M-26SEP210215-15,UP,1,mirror,0.97,0.11,0.98,0.1,-0.88,1.0,0.9,43,yes
20260920_222952,2026-09-20T23:15:10,Anti Scalper,ETH,KXETH15M-26SEP210215-15,UP,3,mirror,0.85,0.11,2.58,0.3,-2.28,3.0,2.7,43,yes
20260920_222952,2026-09-20T23:15:10,Anti Scalper,ETH,KXETH15M-26SEP210215-15,UP,6,mirror,0.91,0.11,5.5,0.61,-4.89,6.0,5.39,43,yes
20260920_222952,2026-09-20T23:15:10,Anti Scalper,ETH,KXETH15M-26SEP210215-15,UP,2,mirror,0.88,0.11,1.78,0.2,-1.58,2.0,1.8,43,yes
20260920_222952,2026-09-20T23:15:10,Anti Scalper,ETH,KXETH15M-26SEP210215-15,UP,12,mirror,0.71,0.04,8.7,0.44,-8.26,12.0,11.56,41,yes
20260920_222952,2026-09-20T23:15:10,Anti Scalper,ETH,KXETH15M-26SEP210215-15,UP,6,mirror,0.73,0.11,4.47,0.61,-3.86,6.0,5.39,43,yes
20260920_222952,2026-09-20T23:15:10,Anti Scalper,ETH,KXETH15M-26SEP210215-15,UP,10,mirror,0.9,0.11,9.07,1.03,-8.04,10.0,8.97,43,yes
20260920_222952,2026-09-20T23:15:10,Anti Scalper,ETH,KXETH15M-26SEP210215-15,UP,8,mirror,0.93,0.11,7.45,0.82,-6.63,8.0,7.18,43,yes
