session,time,strategy,coin,event,ticker,side,contracts,price,multiplier,fee,cost,payout,pnl,result,strike,btc_price,final_value,balance_after,model_prob,edge,why,tau,yes_bid,yes_ask,mkt_prob
20260920_222952,2026-09-20T22:37:11,Model,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,38,0.34,2.94,0.6,13.52,,,,0.088635,0.08869,,1027.49,0.415,0.059,entry,468,0.67,0.68,0.675
20260920_222952,2026-09-20T22:37:11,Anti Model,DOGE,BET,KXDOGE15M-26SEP210145-45,UP,1,0.69,1.45,0.02,0.71,,,,0.088635,0.08869,,914.75,0.585,-0.12,entry,468,0.67,0.68,0.675
20260920_222952,2026-09-20T22:38:17,Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,10,0.21,4.76,0.12,2.22,,,,0.088635,0.08877,,999.56,0.252,0.03,entry,403,0.8,0.81,0.805
20260920_222952,2026-09-20T22:38:17,Anti Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,UP,2,0.82,1.22,0.03,1.67,,,,0.088635,0.08877,,999.9,0.748,-0.082,entry,403,0.8,0.81,0.805
20260920_222952,2026-09-20T22:40:02,Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,30,0.48,2.08,0.53,14.93,,,,0.088635,0.08857,,1000.8,0.54,0.043,entry,298,0.53,0.54,0.535
20260920_222952,2026-09-20T22:40:02,Anti Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,UP,15,0.55,1.82,0.26,8.51,,,,0.088635,0.08857,,998.52,0.46,-0.107,entry,298,0.53,0.54,0.535
20260920_222952,2026-09-20T22:40:10,Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,32,0.44,2.27,0.56,14.64,,,,0.088635,0.08857,,997.42,0.521,0.064,entry,289,0.57,0.58,0.575
20260920_222952,2026-09-20T22:40:10,Anti Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,UP,10,0.59,1.69,0.17,6.07,,,,0.088635,0.08857,,998.66,0.479,-0.128,entry,289,0.57,0.58,0.575
20260920_222952,2026-09-20T22:40:18,Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,5,0.49,2.04,0.09,2.54,,,,0.088635,0.08857,,1000.77,0.547,0.04,entry,281,0.52,0.53,0.525
20260920_222952,2026-09-20T22:40:18,Anti Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,UP,4,0.54,1.85,0.07,2.23,,,,0.088635,0.08857,,997.08,0.453,-0.104,entry,281,0.52,0.53,0.525
20260920_222952,2026-09-20T22:40:26,Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,4,0.44,2.27,0.07,1.83,,,,0.088635,0.08857,,995.87,0.521,0.063,entry,273,0.57,0.59,0.58
20260920_222952,2026-09-20T22:40:26,Anti Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,UP,2,0.6,1.67,0.04,1.24,,,,0.088635,0.08857,,998.5,0.479,-0.138,entry,273,0.57,0.59,0.58
20260920_222952,2026-09-20T22:40:40,Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,29,0.34,2.94,0.46,10.32,,,,0.088635,0.08866,,987.13,0.387,0.032,entry,259,0.67,0.68,0.675
